Reference, Value, Footprint, Datasheet
"J3","CONN_01X12","Socket_Strips:Socket_Strip_Straight_1x12_Pitch2.54mm",""
"J4","CONN_01X12","Socket_Strips:Socket_Strip_Straight_1x12_Pitch2.54mm",""
"J7","Aloes_Logo","Aloes:Aloes_mini",""
"J1","OSHW_Logo","Symbols:OSHW-Logo_5.7x6mm_SilkScreen",""
"J10","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"J11","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"J9","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J8","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J5","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"J6","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"J13","CONN_02X09","Pin_Headers:Pin_Header_Straight_2x09_Pitch2.54mm",""
"J12","CONN_02X03","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm",""
"J2","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
