Reference, Value, Footprint, Datasheet
"J3","CONN_01X07","Pin_Headers:Pin_Header_Straight_1x07_Pitch2.54mm",""
"J4","CONN_01X07","Pin_Headers:Pin_Header_Straight_1x07_Pitch2.54mm",""
"J1","CONN_01X04","Connectors_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight",""
"J6","GS3","Connectors:GS3",""
"J5","GS3","Connectors:GS3",""
"J2","CONN_01X04","Connectors_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight",""
